UPH,mcType,material,pinPkgTyp,oper,wireType,wirePerDie,dieX,dieY,grindingThickness,pkgX,pkgY,pkgZ,leadCount,stripSize,wireCount,wireDia
735.7384952,ICONN,L/F,QFN,2200,AU,0.055446195,47,52,125,2,3,0.55,20,1728,20,0.8
732.1101348,ICONN,L/F,QFN,2200,AU,0.055544754,53,59,125,2,3,0.55,20,1728,20,0.8
736.4427816,ICONN,L/F,QFN,2200,AU,0.055553602,47,52,125,2,3,0.55,20,1728,20,0.8
707.5842534,ICONN,L/F,QFN,2200,AU,0.055598008,47,52,125,2,3,0.55,20,1728,20,0.8
716.8947869,ICONN,L/F,QFN,2200,AU,0.055679115,47,52,125,2,3,0.55,20,1728,20,0.8
711.4464578,ICONN,L/F,QFN,2200,AU,0.056014469,47,52,125,2,3,0.55,20,1728,20,0.8
735.7649891,ICONN,L/F,QFN,2200,AU,0.056246975,47,52,125,2,3,0.55,20,1728,20,0.8
726.7767143,ICONN,L/F,QFN,2200,AU,0.056480732,47,52,125,2,3,0.55,20,1728,20,0.8
697.3423776,ICONN,L/F,QFN,2200,AU,0.056838983,53,59,125,2,3,0.55,20,1728,20,0.8
734.8205654,ICONN,L/F,QFN,2200,AU,0.058162076,47,52,125,2,3,0.55,20,1728,20,0.8
538.4903173,ICONN,L/F,QFN,2200,AU,0.058470549,46,42,125,2,3,0.55,20,1728,20,0.8
441.5283759,ICONN,L/F,QFN,2200,AU,0.058722221,53,59,125,2,3,0.55,20,1728,20,0.8
518.4120443,ICONN,L/F,QFN,2200,AU,0.058994777,46,42,125,2,3,0.55,20,1728,20,0.8
681.3231446,ICONN,L/F,QFN,2200,AU,0.059327528,46,42,125,2,3,0.55,20,1728,20,0.8
742.3658104,ICONN,L/F,QFN,2200,AU,0.059342962,53,59,125,2,3,0.55,20,1728,20,0.8
678.2811769,ICONN,L/F,QFN,2200,AU,0.059639147,46,42,125,2,3,0.55,20,1728,20,0.8
682.1836151,ICONN,L/F,QFN,2200,AU,0.059824984,46,42,125,2,3,0.55,20,1728,20,0.8
637.0540647,ICONN,L/F,QFN,2200,AU,0.059879075,46,42,125,2,3,0.55,20,1728,20,0.8
674.5572342,ICONN,L/F,QFN,2200,AU,0.05992015,46,42,125,2,3,0.55,20,1728,20,0.8
706.3511927,ICONN,L/F,QFN,2200,AU,0.061279235,47,52,125,2,3,0.55,20,1728,20,0.8
683.6098019,ICONN,L/F,QFN,2200,AU,0.062128417,46,42,125,2,3,0.55,20,1728,20,0.8
740.4057129,ICONN,L/F,QFN,2200,AU,0.064225396,47,52,125,2,3,0.55,20,1728,20,0.8
704.764891,ICONN,L/F,QFN,2200,AU,0.064244023,47,52,125,2,3,0.55,20,1728,20,0.8
680.9518819,ICONN,L/F,QFN,2200,AU,0.068415995,46,42,125,2,3,0.55,20,1728,20,0.8
1392.992611,ICONN,L/F,STDFN,2200,AG,0.034855807,176,187,125,8,6,0.75,8,216,20,0.8
480.1884662,ICONN,L/F,STDFN,2200,AG,0.143790894,176,187,125,8,6,0.75,8,216,20,0.8
478.5855063,ICONN,L/F,STDFN,2200,AG,0.145324,176,187,125,8,6,0.75,8,216,20,0.8
500.3456451,ICONN,L/F,STDFN,2200,AG,0.162125201,176,187,125,8,6,0.75,8,216,20,0.8
504.3262526,ICONN,L/F,STDFN,2200,AG,0.165801168,176,187,125,8,6,0.75,8,216,20,0.8
507.5350547,ICONN,L/F,STDFN,2200,AG,0.166109255,176,187,125,8,6,0.75,8,216,20,0.8
508.3870459,ICONN,L/F,STDFN,2200,AG,0.166218906,176,187,125,8,6,0.75,8,216,20,0.8
504.2091577,ICONN,L/F,STDFN,2200,AG,0.166672829,176,187,125,8,6,0.75,8,216,20,0.8
499.6286162,ICONN,L/F,STDFN,2200,AG,0.166715386,176,187,125,8,6,0.75,8,216,20,0.8
508.6692801,ICONN,L/F,STDFN,2200,AG,0.166727144,176,187,125,8,6,0.75,8,216,20,0.8
508.5821312,ICONN,L/F,STDFN,2200,AG,0.166819772,176,187,125,8,6,0.75,8,216,20,0.8
500.9909529,ICONN,L/F,STDFN,2200,AG,0.166925165,176,187,125,8,6,0.75,8,216,20,0.8
489.5167589,ICONN,L/F,STDFN,2200,AG,0.167240746,176,187,125,8,6,0.75,8,216,20,0.8
504.2861014,ICONN,L/F,STDFN,2200,AG,0.167459166,176,187,125,8,6,0.75,8,216,20,0.8
496.6351593,ICONN,L/F,STDFN,2200,AG,0.167672952,176,187,125,8,6,0.75,8,216,20,0.8
507.058236,ICONN,L/F,STDFN,2200,AG,0.168056936,176,187,125,8,6,0.75,8,216,20,0.8
508.916991,ICONN,L/F,STDFN,2200,AG,0.168475794,176,187,125,8,6,0.75,8,216,20,0.8
